Strom
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
CCE 16A 20m;;Turnhalle - 100;CCE Case;;Funktionsfähig;;75,00 €;150,00 €;;2
CCE 32A 20m;;Turnhalle - 101;CCE Case;;Funktionsfähig;;99,00 €;99,00 €;;1
CCE 16A 10m;;Turnhalle - 102;CCE Case;;Funktionsfähig;;39,00 €;117,00 €;;3
CCE 32A 10m;;Turnhalle - 103;CCE Case;;Funktionsfähig;;51,00 €;51,00 €;;1
CCE 32A 15m;;Turnhalle - 104;CCE Case;;Funktionsfähig;;73,00 €;146,00 €;;2
the sssnake 15 m;Lastkabel 15m;Turnhalle - 105;graue Kiste;;Funktionsfähig;;189,00 €;189,00 €;;1
Ersatzkabel CCE 32 6m ;;Turnhalle - 105;CCE Case;;Funktionsfähig;;;0,00 €;;1
32 A Weiblicher Stecker;;Turnhalle - 105;CCE Case;;Funktionsfähig;;;0,00 €;;1
Multi-Pack Botex;;Turnhalle - 105;CCE Case;;Funktionsfähig;2016;140,00 €;280,00 €;;2
Stairville;;Turnhalle - 105;CCE Case;(21)70589UDB00005;Funktionsfähig;2015;;0,00 €;;1
CCE auf 3 Schuko Verteiler PCE;;Turnhalle - 105;CCE Case;;Funktionsfähig;;20,00 €;20,00 €;;1
Adapter 32A > Schuko 5m;;Turnhalle - 105;CCE Case;;Funktionsfähig;;10,00 €;10,00 €;;1
24-poliges Dimmerpackkabel 25m;;Turnhalle - 105;Lastkabelcase;;Mit Wackler;;;0,00 €;;1
;;;;;;;;0,00 €;;
Adapter 16A > 32A;;Turnhalle - 105;CCE Case;;Funktionsfähig;;16,00 €;16,00 €;;1
Adapter Schuko > 32A ;;Turnhalle - 105;CCE Case;;Funktionsfähig;;10,00 €;10,00 €;;1
Lastkabel 15m;;Turnhalle - 105;Lastkabelcase;;Funktionsfähig;;155,00 €;465,00 €;;3
Lastkabel > Schuko 1m;Peitsche;Turnhalle -105;Lastkabelcase;;Funktionsfähig;;99,00 €;99,00 €;;1
Kabeltrommel Schuko 25m;;Turnhalle - 105;Stromcase;;Funktionsfähig;;;;;1
Kabeltrommel Schuko 50m;;Turnhalle - 105;Stromcase;;Funktionsfähig;;30,00 €;30,00 €;;1
Schuko-3er Verteiler (1);;Turnhalle - 105;Stromcase;;Funktionsfähig;;5,00 €;55,00 €;;11
Schuko-Verteiler Doppler 0,1m;;Turnhalle - 105;Stromcase;;Funktionsfähig;;3,00 €;30,00 €;;10
Schuko 3 Verteiler als Kreuz;;Turnhalle - 105;Stromcase;;Funktionsfähig;;29,00 €;116,00 €;;4
Schuko 6er Verteiler;;Turnhalle - 105;Stromcase;;Funktionsfähig;;8,00 €;24,00 €;;3
Schuko 4 Verteiler;;Turnhalle -105;Stromcase;;Funktionsfähig;;5,00 €;0,00 €;;0
Verlängerung 10m Schuko (3);;Turnhalle - 105;Stromcase;;Funktionsfähig;;19,50 €;175,50 €;;9
Verlängerung 5m Schuko (4);;Turnhalle - 105;Stromcase;;Funktionsfähig;;16,90 €;169,00 €;;10
Verlängerung 3m Schuko ;;Turnhalle - 105;Stromcase;;Funktionsfähig;;13,90 €;27,80 €;;2
Verlängerung 15m Schuko (1);;Turnhalle - 105;Stromcase;;Funktionsfähig;;22,90 €;0,00 €;;0
Verlängerung 20m Schuko (1);;Turnhalle - 106;Stromcase;;Funktionsfähig;;29,99 €;29,99 €;;1
Kaltgerätekabel;;Turnhalle - 105;Stromcase;;Funktionsfähig;;3,99 €;143,64 €;;36
Kaltgerätekabelverlängerung;;Turnhalle - 105;Stromcase;;Funktionsfähig;;;0,00 €;;5
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;;;
;;;;;;;;;;
Gesamt;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
/;/;/;/;/;/;/;/;1.374,93 €;/;/
