Anlagen
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
Pioneer DJM-250-K;;Turnhalle - 105;;LCHN007789WY;Mit Wackler;2013;298,00 €;298,00 €;;1
Mackie Onyx 1640i;Micky;Turnhalle - 105;;0030896BRDY0160;Anschluss 7 defekt;;1.529,00 €;1.529,00 €;;1
HK Audio L.U.K.A.S Alpha: Bass;;Turnhalle - 105;;A01-1135-20287667;Funktionsfähig;2012;3.885,00 €;3.885,00 €;;2
HK Audio L.U.K.A.S Alpha: Top;;Turnhalle - 105;;A01-1131-10338086;Funktionsfähig;;;0,00 €;;4
Aufhängungen HK-Tops Stahl;;Turnhalle - 105;;;Funktionsfähig;;;;;2
K&M Distanzstangen;;Turnhalle - 105;Diversescase;;Funktionsfähig;;39,90 €;79,80 €;;2
HK-Lautsprecherstativ (4);;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;4
Marlis MPA;Batty mit Tops;Turnhalle - 105;;;Bass geht, Tops unbekannt;2005;435,00 €;435;;1
Behringer UltraCurve DSP 8000;Digitaler EQ;Turnhalle - 105;Gator Case;71731622;Funktionsfähig;1996;399,00 €;399,00 €;;1
Palmer Audionomix Direct-Box;DI;Turnhalle - 105;Gator Case;;Funktionsfähig;2013;188,00 €;188,00 €;;1
Zeck DBA 20 active signal converter;DI klein;Turnhalle - 105;;;Funktionsfähig;;;;;1
SR Pocket 700 MX;Detlef;Turnhalle - 105;Case 1;424;Funktionsfähig;2008;680,00 €;680,00 €;;1
SR - Stativ ;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;2
Behringer Ultrafex II EX3100;Behringer Mixer;Turnhalle - 105;;71661006;Mit Grundrauschen;;;0,00 €;;1
Alesis 3630 Compressor;Effektreck;Turnhalle - 105;;;Funktionsfähig;1996;299,00 €;299,00 €;;1
dbx 166KL Compressor;;;;;Funktionsfähig;1996;399,00 €;399,00 €;;1
JBL EON15 G2/230;Plaste-Box;Turnhalle - 105;Wagen;PO353-78515;Funktionsfähig;2009;685,00 €;1.370,00 €;;2
GBL - Active Speaker Stativ (2);Plastebox-Stativ;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;2
McLelland Actitve Direct-Box;DI klein;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1
ASA Powered Mixer AMX 80m;alter Mixer;Turnhalle - 105;Case;12E060040;Funktionsfähig;;;0,00 €;;1
Behringer X32 Producer;neuer Mixer;Turnhalle - 105;Case;S1601390AWQ;Funktionsfähig;2017;1.389,00 €;1.389,00 €;;1
JBL EON 615;Neuen JBLs;Turnhalle - 105;;;Funktionsfähig;2017;385,00 €;770,00 €;;2
McCrypt Nebelmaschine;Nebelmaschine;Turnhalle - 105;;F50;Funktionsfähig;2006;89,95 €;89,95 €;;1
;;;;;;;;;;
Gesamt;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
/;/;/;/;/;/;/;/;13.446,80 €;/;/
