Licht
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl;
Behringer Eurolight LC2412;;Turnhalle - 105;;S1000218058;Funktionsfähig;2010;179,00 €;179,00 €;;1;
Comscan LED-System;Scanner;Turnhalle - 105;;;Funktionsfähig;2010;174,00 €;348,00 €;;2;
Behringer Eurolight UV-Spot ;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1;
Pars;;Turnhalle - 105;;;Funktionsfähig;;22,00 €;528,00 €;;24;
Bodenstative Pars;;Turnhalle - 105;;;Funktionsfähig;;;;;18;
Crashlight Blitzer;Altes Blitzding;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1;
Pulsar Dimmerpack AMP;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1;
Behringer Ultrafex II EX3100;;Turnhalle - 105;;71661006;Funktionsfähig;;;0,00 €;;0;
Windup ;;Turnhalle - 105;;;Funktionsfähig;;459,00 €;918,00 €;;2;
Bar á 6 Pars;;Turnhalle - 105;;;Funktionsfähig;;240,00 €;480,00 €;;2;
Baustrahler;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;2;
UV-Kanone;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;0;
GLP Scan operator fx2;;;case;1000800221;;;299,00 €;299,00 €;;1;
Strand Lighting quartet F;;;;;;;;0,00 €;;4;
MH-110 Stairville;Wash;;Movinglightscase;(21)74438VDH00166;;2016;369,00 €;2.214,00 €;;6;
MH-100 Stairville;Pointer;;Movinglightscase;(21)74438VCL00112;;2016;299,00 €;598,00 €;;2;
LED Pars Stairville;LED Pars;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;4;
LED Par575 white dmx;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;2;
LED Bar252 DMX;Stropoleiste;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;2;
;;;;;;;;0,00 €;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Gesamt;;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl;
/;/;/;/;/;/;/;/;5.564,00 €;/;/;
