Mikrofone und Ständer
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl;;
Sennheiser EM 100 G3/ SK 100 G3;Funkstrecken Empfänger/ Bodypack;Turnhalle - 105;THON-Case;1231182800;Funktionsfähig;39082;949,00 €;1.898,00 €;;2;;
;;;;1231182762;;;;0,00 €;;;;
Sennheiser EM 100 G3/ SK 100 G3;Funkstrecken Empfänger/ Bodypack;Turnhalle - 105;THON-Case;1175391205;Funktionsfähig;40762;599,00 €;1.198,00 €;;2;;
;;;;1175391215;;;;;;;;
RCS-VHF Wireless Receiver;Alte Funkstrecken Ralf;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1;;
AKG C1000s MKIV ;Gesangsmikros;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;156,00 €;312,00 €;;2;;
Shure SM48;;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;109,00 €;109,00 €;;1;;
Shure SM58 ;;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;109,00 €;436,00 €;;4;;
Shure PG58 ;;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;59,00 €;59,00 €;;1;;
Shure Beta 57A;;Turnhalle - 105;;;Funktionsfähig;;139,00 €;139,00 €;;1;;
Shure Beta 58A ;;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;172,00 €;516,00 €;;3;;
Sennheiser e815-S ;Funkstrecken Sender Keule;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;;0,00 €;;1;;
Shure SM57;;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;;0,00 €;;1;;
Behringer ECM 8000;Nasenhaarentverner;Turnhalle - 105;Mikrofonkoffer;;Funktionsfähig;;;0,00 €;;1;;
 Mikrofonstativ - ohne Arm (2);;Turnhalle - 105;Diversescase;;Funktionsfähig;;22,90 €;114,50 €;;5;;
Mikrofonstativ - mit Arm;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;5;;
Mikrofonstativ - mit Arm klein;Kinderstative;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;2;;
Mikrofonhalterung;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;15;;
Tischmikrofon-Fuß ;;Turnhalle - 105;Diversescase;;Funktionsfähig;;21,90 €;87,60 €;;4;;
Bodenstativ;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;1;;
Mirkrofonhalterung Drums;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;2;;
Mikrofongabel;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;;;0;;v
;;;;;;;;;;;;
;;;;;;;;;;;;
;p;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Gesamt;;;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl;;
/;/;/;/;/;/;/;/;1.773,10 €;/;/;;
