Tonkabel und Adapter
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
3,3mm Klinke – 6,3mm Klinke Stereo Adapter;;Turnhalle - 105;Stuffkoffer;;Funktionsfähig;;;0,00 €;;2
3,3mm Klinke - 6,3mm Klinke Mono Adapter;;Turnhalle - 105;Stuffkoffer;;Funktionsfähig;;;0,00 €;;1
6,3mm Klinke < 3,3mm Klinke;;;;;;;12,10 €;24,20 €;;2
6,3mm Klinke ♀ < XLR 3-polig kurz;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;3
3,3mm Klinke ♀ < XLR 3-polig kurz;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;1
;;;;;;;;0,00 €;;
XLR 3-polig 20m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;18,50 €;18,50 €;;1
XLR 3-polig 15m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;28,00 €;140,00 €;;5
XLR 3-polig 10m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;26,00 €;442,00 €;;17
XLR 3-polig 5m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;21,30 €;298,20 €;;14
XLR 3-polig 3m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;19,00 €;190,00 €;;10
XLR 3-polig 1m;;Turnhalle - 105;Toncase;;Funktionsfähig;;31,00 €;93,00 €;;3
XLR 3-polig 0,5m;Pitchkabel;Turnhalle - 105;Toncase;;Funktionsfähig;;10,00 €;90,00 €;;9
XLR < 6,3mm Klinke 10m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;16,00 €;96,00 €;;6
XLR < 6,3mm Klinke 5m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;5,00 €;15,00 €;;3
XLR < 6,3mm Klinke 1m;;Turnhalle - 105;Toncase;;Funktionsfähig;;5,00 €;40,00 €;;8
XLR < 3,3mm Klinke 1,5m;;Turnhalle - 105;Toncase;;Funktionsfähig;;10,20 €;0,00 €;;0
XLR < Chinqe 5m (1);;;;;;;;0,00 €;;0
XLR 3-polig y-Adapter 0,2m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;1
XLR Verlängerung Adapter;;Turnhalle - 105;Stuffcase;;Funktionsfähig;;;0,00 €;;2
XLR 6-polig;;Turnhalle - 105;Toncase;;Funktionsfähig;;47,70 €;95,40 €;;2
;;;;;;;;0,00 €;;
LAN 3m;;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;2
HDMI 20m;;Turnhalle - 105;Toncase;;Funktionsfähig;;20,00 €;40,00 €;;2
HDMI 5m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;5,00 €;5,00 €;;1
6,3mm Klinke Stereo < 6,3mm Klinke Mono 1,5m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;2
;;;;;;;;0,00 €;;
USB-B Highspeed 2.0 28AWG Kabel 2m;Druckerkabel;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1
Power-Con ;;Turnhalle - 105;Toncase;;Funktionsfähig;;18,50 €;37,00 €;;2
;;;;;;;;;;
Chinqe 1,5m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;10,70 €;21,40 €;;2
Chinqe < 3,3mm Klinke 6m;;Turnhalle - 105;Toncase;;Funktionsfähig;;11,80 €;0,00 €;;0
Chinqe < 3,3mm Klinke 3m;;Turnhalle - 105;Toncase;;Funktionsfähig;;9,50 €;19,00 €;;2
Chinqe < 3,3mm Klinke 1,5m;;Turnhalle - 105;Toncase;;Funktionsfähig;;8,60 €;17,20 €;;2
Chinqe < 6,3mm Klinke Mono Adapter ;;;;;;;0,70 €;15,40 €;;22
;;;;;;;;0,00 €;;
Speak-Con 25m;;Turnhalle - 105;Toncase;;Funktionsfähig;;72,90 €;72,90 €;;1
Speak-Con 10m ;;Turnhalle - 105;Toncase;;Funktionsfähig;;15,90 €;79,50 €;;5
Speak-Con 5m;;Turnhalle - 105;Toncase;;Funktionsfähig;;17,80 €;35,60 €;;2
Speak-Con Verlängerer Adapter;;Turnhalle - 105;Stuffkoffer;;Funktionsfähig;;;0,00 €;;1
;;;;;;;;0,00 €;;
Saalkabel DRE-ITTC 50m;;Turnhalle - 105;Toncase;;Funktionsfähig;;350,00 €;350,00 €;;1
Saalkabel 20 Kanäle;;Turnhalle - 105;Toncase;;Funktionsfähig;;15,00 €;15,00 €;;1
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
6,3mm Klinke Kabel;;Turnhalle - 105;Toncase;;Funktionsfähig;;44,00 €;660,00 €;;15
6,3mm Klinke ♀ < XLR 3-polig ♀;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;1
3,3mm Klinke Kabel 2m;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;1
3,3mm Klinke Kabel 5m;;Turnhalle - 105;Toncase;;Funktionsfähig;;;0,00 €;;1
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;0,00 €;;
;;;;;;;;;;
Gesamt;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
/;/;/;/;/;/;/;/;2.910,30 €;/;/
