Audio-Anlagen: Tabelle 1
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
Pioneer DJM-250-K;;Turnhalle - 105;;LCHN007789WY;Mit Wackler;2013;298,00 €;298,00 €;;1
Mackie Onyx 1640i;Micky;Turnhalle - 105;;0030896BRDY0160;Anschluss 7 defekt;;1.529,00 €;1.529,00 €;;1
HK Audio L.U.K.A.S Alpha: Bass;;Turnhalle - 105;;A01-1135-20287667;Funktionsfähig;2012;3.885,00 €;3.885,00 €;;1
Aufhängungen HK-Tops Stahl;;Turnhalle - 105;;;Funktionsfähig;;;;;2
K&M Distanzstangen;;Turnhalle - 105;Diversescase;;Funktionsfähig;;39,90 €;79,80 €;;2
HK-Lautsprecherstativ (4);;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;4
Marlis MPA;Batty mit Tops;Turnhalle - 105;;;Bass geht, Tops unbekannt;2005;435,00 €;435;;1
Behringer UltraCurve DSP 8000;Digitaler EQ;Turnhalle - 105;Gator Case;71731622;Funktionsfähig;1996;399,00 €;399,00 €;;1
Palmer Audionomix Direct-Box;DI;Turnhalle - 105;Gator Case;;Funktionsfähig;2013;188,00 €;188,00 €;;1
Zeck DBA 20 active signal converter;DI klein;Turnhalle - 105;;;Funktionsfähig;;;;;1
SR Pocket 700 MX;Detlef;Turnhalle - 105;Case 1;424;Funktionsfähig;2008;680,00 €;680,00 €;;1
SR - Stativ ;;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;2
Behringer Ultrafex II EX3100;Behringer Mixer;Turnhalle - 105;;71661006;Mit Grundrauschen;;;0,00 €;;1
Alesis 3630 Compressor;Effektreck;Turnhalle - 105;;;Funktionsfähig;1996;299,00 €;299,00 €;;1
dbx 166KL Compressor;;;;;Funktionsfähig;1996;399,00 €;399,00 €;;1
JBL EON15 G2/230;Plaste-Box;Turnhalle - 105;Wagen;PO353-78515;Funktionsfähig;2009;685,00 €;1.370,00 €;;2
GBL - Active Speaker Stativ (2);Plastebox-Stativ;Turnhalle - 105;Diversescase;;Funktionsfähig;;;0,00 €;;2
HK Audio L.U.K.A.S Alpha: Bass;;Turnhalle - 105;;A01-1135-20287668;Funktionsfähig;2012;3.885,00 €;3.885,00 €;;1
HK Audio L.U.K.A.S Alpha: Top;;Turnhalle - 105;;A01-1131-10338086;Funktionsfähig;;;0,00 €;;1
HK Audio L.U.K.A.S Alpha: Top;;Turnhalle - 105;;A01-1131-10338084;Funktionsfähig;;;0,00 €;;1
HK Audio L.U.K.A.S Alpha: Top;;Turnhalle - 105;;A01-1131-10338052;Funktionsfähig;;;0,00 €;;1
HK Audio L.U.K.A.S Alpha: Top;;Turnhalle - 105;;A01-1131-10338046;Funktionsfähig;;;0,00 €;;1
McLelland Actitve Direct-Box;DI klein;Turnhalle - 105;;;Funktionsfähig;;;0,00 €;;1
ASA Powered Mixer AMX 80m;alter Mixer;Turnhalle - 105;Case;12E060040;Funktionsfähig;;;0,00 €;;1
Behringer X32 Producer;neuer Mixer;Turnhalle - 105;Case;S1601390AWQ;Funktionsfähig;2017;1.389,00 €;1.389,00 €;;1
JBL EON 615;Neuen JBLs;Turnhalle - 105;;;Funktionsfähig;2017;385,00 €;770,00 €;;2
McCrypt Nebelmaschine;Nebelmaschine;Turnhalle - 105;;F50;Funktionsfähig;2006;89,95 €;89,95 €;;1
;;;;;;;;;;
Gesamt;;;;;;;;;;
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
/;/;/;/;/;/;/;/;13.446,80 €;/;/

CCR und Schuko: Tabelle 1
Bezeichnung;Trivialname;Lagerort;Genauer Lagerort;Seriennummer;Status;Kaufdatum;Einzelpreis;K. SUMME;Mietsatz;Anzahl
CCE 16A 20m;;Turnhalle - 100;CCE Case;;Funktionsfähig;;75,00 €;150,00 €;;2
CCE 32A 20m;;Turnhalle - 101;CCE Case;;Funktionsfähig;;99,00 €;99,00 €;;1
CCE 16A 10m;;Turnhalle - 102;CCE Case;;Funktionsfähig;;39,00 €;117,00 €;;3
CCE 32A 10m;;Turnhalle - 103;CCE Case;;Funktionsfähig;;51,00 €;51,00 €;;1
CCE 32A 15m;;Turnhalle - 104;CCE Case;;Funktionsfähig;;73,00 €;146,00 €;;2
the sssnake 15 m;Lastkabel 15m;Turnhalle - 105;graue Kiste;;Funktionsfähig;;189,00 €;189,00 €;;1
Ersatzkabel CCE 32 6m ;;Turnhalle - 105;CCE Case;;Funktionsfähig;;;0,00 €;;1
32 A Weiblicher Stecker;;Turnhalle - 105;CCE Case;;Funktionsfähig;;;0,00 €;;1
Multi-Pack Botex;;Turnhalle - 105;CCE Case;;Funktionsfähig;2016;140,00 €;280,00 €;;2
Stairville;;Turnhalle - 105;CCE Case;(21)70589UDB00005;Funktionsfähig;2015;;0,00 €;;1
CCE auf 3 Schuko Verteiler PCE;;Turnhalle - 105;CCE Case;;Funktionsfähig;;20,00 €;20,00 €;;1
Adapter 32A > Schuko 5m;;Turnhalle - 105;CCE Case;;Funktionsfähig;;10,00 €;10,00 €;;1
24-poliges Dimmerpackkabel 25m;;Turnhalle - 105;Lastkabelcase;;Mit Wackler;;;0,00 €;;1
;;;;;;;;0,00 €;;
Adapter 16A > 32A;;Turnhalle - 105;CCE Case;;Funktionsfähig;;16,00 €;16,00 €;;1
Adapter Schuko > 32A ;;Turnhalle - 105;CCE Case;;Funktionsfähig;;10,00 €;10,00 €;;1
Lastkabel 15m;;Turnhalle - 105;Lastkabelcase;;Funktionsfähig;;155,00 €;465,00 €;;3
